week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-01-01,BEV-001,STR-001,124,127,81,170,False
2024-01-01,BEV-001,STR-002,239,128,111,256,False
2024-01-01,BEV-001,STR-003,52,102,124,30,False
2024-01-01,BEV-001,STR-004,100,58,72,86,False
2024-01-01,BEV-001,STR-005,229,112,115,226,False
2024-01-01,BEV-001,STR-006,179,130,75,234,False
2024-01-01,BEV-001,STR-007,130,112,75,167,False
2024-01-01,BEV-001,STR-008,103,86,111,78,False
2024-01-01,BEV-001,STR-009,178,146,116,208,False
2024-01-01,BEV-001,STR-010,221,67,72,216,False
2024-01-01,BEV-001,STR-011,73,68,74,67,False
2024-01-01,BEV-001,STR-012,188,143,89,242,False
2024-01-01,BEV-001,STR-013,119,92,78,133,False
2024-01-01,BEV-001,STR-014,213,146,78,281,False
2024-01-01,BEV-001,STR-015,197,95,38,254,False
2024-01-01,BEV-001,STR-016,131,103,75,159,False
2024-01-01,BEV-001,STR-017,200,41,89,152,False
2024-01-01,BEV-001,STR-018,139,111,35,215,False
2024-01-01,BEV-001,STR-019,162,1,79,84,False
2024-01-01,BEV-001,STR-020,246,36,31,251,False
2024-01-01,BEV-001,STR-021,148,146,28,266,False
2024-01-01,BEV-001,STR-022,197,53,22,228,False
2024-01-01,BEV-001,STR-023,165,74,43,196,False
2024-01-01,BEV-001,STR-024,215,103,55,263,False
2024-01-01,BEV-001,STR-025,161,98,118,141,False
2024-01-01,BEV-001,STR-026,177,109,37,249,False
2024-01-01,BEV-001,STR-027,212,67,73,206,False
2024-01-01,BEV-001,STR-028,184,144,35,293,False
2024-01-01,BEV-001,STR-029,236,114,67,283,False
2024-01-01,BEV-001,STR-030,207,37,41,203,False
2024-01-01,BEV-001,STR-031,231,7,70,168,False
2024-01-01,BEV-001,STR-032,70,29,117,0,True
2024-01-01,BEV-001,STR-033,246,60,83,223,False
2024-01-01,BEV-001,STR-034,84,48,23,109,False
2024-01-01,BEV-001,STR-035,95,116,145,66,False
2024-01-01,BEV-001,STR-036,73,92,56,109,False
2024-01-01,BEV-001,STR-037,144,98,72,170,False
2024-01-01,BEV-001,STR-038,209,66,82,193,False
2024-01-01,BEV-001,STR-039,107,66,94,79,False
2024-01-01,BEV-001,STR-040,163,31,43,151,False
2024-01-01,BEV-002,STR-001,243,126,42,327,False
2024-01-01,BEV-002,STR-002,66,103,21,148,False
2024-01-01,BEV-002,STR-003,225,38,62,201,False
2024-01-01,BEV-002,STR-004,148,49,45,152,False
2024-01-01,BEV-002,STR-005,109,134,32,211,False
2024-01-01,BEV-002,STR-006,69,64,64,69,False
2024-01-01,BEV-002,STR-007,164,142,123,183,False
2024-01-01,BEV-002,STR-008,81,85,85,81,False
2024-01-01,BEV-002,STR-009,112,124,77,159,False
2024-01-01,BEV-002,STR-010,135,48,77,106,False
2024-01-01,BEV-002,STR-011,150,7,102,55,False
2024-01-01,BEV-002,STR-012,152,5,24,133,False
2024-01-01,BEV-002,STR-013,104,51,153,2,True
2024-01-01,BEV-002,STR-014,196,144,63,277,False
2024-01-01,BEV-002,STR-015,141,57,38,160,False
2024-01-01,BEV-002,STR-016,72,126,105,93,False
2024-01-01,BEV-002,STR-017,107,121,20,208,False
