week,product_id,store_id,units_sold,revenue,promotion_flag,promotion_type,discount_pct
1,P001,S001,85,209.1,0,No Promotion,0.0
1,P002,S001,99,202.45,1,BOGO,0.5
1,P003,S001,165,241.56,1,Price Cut,0.2
1,P004,S001,123,231.85,1,BOGO,0.5
1,P005,S001,79,195.13,0,No Promotion,0.0
1,P006,S001,120,251.94,1,Bundle,0.15
1,P007,S001,54,152.82,0,No Promotion,0.0
1,P008,S001,60,243.0,0,No Promotion,0.0
1,P009,S001,61,154.33,0,No Promotion,0.0
1,P010,S001,91,277.37,1,Price Cut,0.2
1,P011,S001,79,190.03,1,Bundle,0.15
1,P012,S001,61,167.14,0,No Promotion,0.0
1,P013,S001,93,376.65,0,No Promotion,0.0
1,P014,S001,274,679.52,1,BOGO,0.5
1,P015,S001,136,476.54,1,Price Cut,0.2
1,P016,S001,61,136.64,1,Display,0.0
1,P017,S001,76,349.6,1,Display,0.0
1,P018,S001,49,115.64,0,No Promotion,0.0
1,P019,S001,88,159.81,1,Price Cut,0.2
1,P020,S001,87,392.37,0,No Promotion,0.0
1,P001,S002,55,135.3,0,No Promotion,0.0
1,P002,S002,61,199.59,1,Price Cut,0.2
1,P003,S002,49,89.67,0,No Promotion,0.0
1,P004,S002,93,350.61,0,No Promotion,0.0
1,P005,S002,82,202.54,0,No Promotion,0.0
1,P006,S002,108,266.76,0,No Promotion,0.0
1,P007,S002,24,54.34,1,Price Cut,0.2
1,P008,S002,42,170.1,0,No Promotion,0.0
1,P009,S002,69,174.57,0,No Promotion,0.0
1,P010,S002,85,259.08,1,Price Cut,0.2
1,P011,S002,55,155.65,0,No Promotion,0.0
1,P012,S002,85,232.9,0,No Promotion,0.0
1,P013,S002,63,255.15,0,No Promotion,0.0
1,P014,S002,105,520.8,0,No Promotion,0.0
1,P015,S002,70,306.6,1,Display,0.0
1,P016,S002,103,230.72,0,No Promotion,0.0
1,P017,S002,75,345.0,0,No Promotion,0.0
1,P018,S002,66,155.76,0,No Promotion,0.0
1,P019,S002,70,158.9,0,No Promotion,0.0
1,P020,S002,52,234.52,0,No Promotion,0.0
1,P001,S003,25,61.5,1,Display,0.0
1,P002,S003,51,208.59,0,No Promotion,0.0
1,P003,S003,61,94.89,1,Bundle,0.15
1,P004,S003,66,248.82,1,Display,0.0
1,P005,S003,80,197.6,1,Display,0.0
1,P006,S003,37,91.39,0,No Promotion,0.0
1,P007,S003,88,199.23,1,Price Cut,0.2
1,P008,S003,85,172.12,1,BOGO,0.5
1,P009,S003,51,129.03,0,No Promotion,0.0
1,P010,S003,60,228.6,1,Display,0.0
1,P011,S003,34,96.22,0,No Promotion,0.0
1,P012,S003,77,179.33,1,Bundle,0.15
1,P013,S003,38,153.9,0,No Promotion,0.0
1,P014,S003,44,218.24,0,No Promotion,0.0
1,P015,S003,53,232.14,0,No Promotion,0.0
1,P016,S003,45,100.8,0,No Promotion,0.0
1,P017,S003,53,243.8,0,No Promotion,0.0
1,P018,S003,69,162.84,0,No Promotion,0.0
1,P019,S003,53,120.31,0,No Promotion,0.0
1,P020,S003,80,288.64,1,Price Cut,0.2
1,P001,S004,121,238.13,1,Price Cut,0.2
1,P002,S004,78,319.02,0,No Promotion,0.0
1,P003,S004,48,87.84,0,No Promotion,0.0
1,P004,S004,57,214.89,0,No Promotion,0.0
1,P005,S004,96,237.12,0,No Promotion,0.0
1,P006,S004,54,133.38,0,No Promotion,0.0
1,P007,S004,54,152.82,0,No Promotion,0.0
1,P008,S004,94,380.7,0,No Promotion,0.0
1,P009,S004,75,189.75,0,No Promotion,0.0
1,P010,S004,42,160.02,0,No Promotion,0.0
1,P011,S004,49,138.67,0,No Promotion,0.0
1,P012,S004,72,197.28,0,No Promotion,0.0
1,P013,S004,55,222.75,0,No Promotion,0.0
1,P014,S004,54,267.84,0,No Promotion,0.0
1,P015,S004,78,341.64,0,No Promotion,0.0
1,P016,S004,79,176.96,0,No Promotion,0.0
1,P017,S004,75,345.0,0,No Promotion,0.0
1,P018,S004,94,221.84,0,No Promotion,0.0
1,P019,S004,43,97.61,0,No Promotion,0.0
1,P020,S004,81,365.31,0,No Promotion,0.0
1,P001,S005,85,209.1,0,No Promotion,0.0
1,P002,S005,103,421.27,0,No Promotion,0.0
1,P003,S005,67,122.61,0,No Promotion,0.0
1,P004,S005,117,352.87,1,Price Cut,0.2
1,P005,S005,151,372.97,1,Display,0.0
1,P006,S005,97,191.67,1,Price Cut,0.2
1,P007,S005,82,197.25,1,Bundle,0.15
1,P008,S005,132,534.6,1,Display,0.0
1,P009,S005,87,176.09,1,Price Cut,0.2
1,P010,S005,127,483.87,0,No Promotion,0.0
1,P011,S005,28,79.24,0,No Promotion,0.0
1,P012,S005,96,210.43,1,Price Cut,0.2
1,P013,S005,85,344.25,0,No Promotion,0.0
1,P014,S005,79,391.84,1,Display,0.0
1,P015,S005,114,499.32,0,No Promotion,0.0
1,P016,S005,82,183.68,0,No Promotion,0.0
1,P017,S005,40,184.0,0,No Promotion,0.0
1,P018,S005,103,194.46,1,Price Cut,0.2
1,P019,S005,3,3.41,1,BOGO,0.5
1,P020,S005,30,135.3,0,No Promotion,0.0
1,P001,S006,64,157.44,0,No Promotion,0.0
1,P002,S006,75,306.75,0,No Promotion,0.0
1,P003,S006,78,114.19,1,Price Cut,0.2
1,P004,S006,69,260.13,0,No Promotion,0.0
1,P005,S006,76,187.72,0,No Promotion,0.0
1,P006,S006,60,148.2,0,No Promotion,0.0
1,P007,S006,70,198.1,0,No Promotion,0.0
1,P008,S006,63,255.15,0,No Promotion,0.0
1,P009,S006,79,169.89,1,Bundle,0.15
1,P010,S006,96,365.76,0,No Promotion,0.0
1,P011,S006,111,314.13,1,Display,0.0
1,P012,S006,87,238.38,0,No Promotion,0.0
1,P013,S006,73,295.65,0,No Promotion,0.0
1,P014,S006,58,287.68,0,No Promotion,0.0
1,P015,S006,69,302.22,0,No Promotion,0.0
1,P016,S006,64,143.36,0,No Promotion,0.0
1,P017,S006,103,473.8,0,No Promotion,0.0
1,P018,S006,103,194.46,1,Price Cut,0.2
1,P019,S006,81,183.87,0,No Promotion,0.0
1,P020,S006,117,527.67,0,No Promotion,0.0
1,P001,S007,51,125.46,0,No Promotion,0.0
1,P002,S007,91,372.19,0,No Promotion,0.0
1,P003,S007,111,162.5,1,Price Cut,0.2
