week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-01-01,BEV-001,STR-001,South,81,318.33,False,,0.0
2024-01-01,BEV-001,STR-002,South,111,436.23,False,,0.0
2024-01-01,BEV-001,STR-003,West,124,462.95,True,BOGO,0.05
2024-01-01,BEV-001,STR-004,North,72,240.52,True,Bundle,0.15
2024-01-01,BEV-001,STR-005,West,115,451.95,False,,0.0
2024-01-01,BEV-001,STR-006,North,75,209.27,True,BOGO,0.29
2024-01-01,BEV-001,STR-007,East,75,294.75,False,,0.0
2024-01-01,BEV-001,STR-008,South,111,436.23,False,,0.0
2024-01-01,BEV-001,STR-009,North,116,455.88,False,,0.0
2024-01-01,BEV-001,STR-010,West,72,282.96,False,,0.0
2024-01-01,BEV-001,STR-011,South,74,258.83,True,Display Feature,0.11
2024-01-01,BEV-001,STR-012,East,89,349.77,False,,0.0
2024-01-01,BEV-001,STR-013,East,78,306.54,False,,0.0
2024-01-01,BEV-001,STR-014,East,78,306.54,False,,0.0
2024-01-01,BEV-001,STR-015,East,38,149.34,False,,0.0
2024-01-01,BEV-001,STR-016,North,75,229.91,True,Price Cut,0.22
2024-01-01,BEV-001,STR-017,East,89,269.32,True,Display Feature,0.23
2024-01-01,BEV-001,STR-018,South,35,137.55,False,,0.0
2024-01-01,BEV-001,STR-019,East,79,310.47,False,,0.0
2024-01-01,BEV-001,STR-020,East,31,121.83,False,,0.0
2024-01-01,BEV-001,STR-021,South,28,110.04,False,,0.0
2024-01-01,BEV-001,STR-022,West,22,86.46,False,,0.0
2024-01-01,BEV-001,STR-023,East,43,168.99,False,,0.0
2024-01-01,BEV-001,STR-024,West,55,216.15,False,,0.0
2024-01-01,BEV-001,STR-025,North,118,463.74,False,,0.0
2024-01-01,BEV-001,STR-026,North,37,145.41,False,,0.0
2024-01-01,BEV-001,STR-027,West,73,286.89,False,,0.0
2024-01-01,BEV-001,STR-028,North,35,125.17,True,Price Cut,0.09
2024-01-01,BEV-001,STR-029,East,67,263.31,False,,0.0
2024-01-01,BEV-001,STR-030,East,41,161.13,False,,0.0
2024-01-01,BEV-001,STR-031,North,70,275.1,False,,0.0
2024-01-01,BEV-001,STR-032,North,117,459.81,False,,0.0
2024-01-01,BEV-001,STR-033,East,83,326.19,False,,0.0
2024-01-01,BEV-001,STR-034,East,23,90.39,False,,0.0
2024-01-01,BEV-001,STR-035,West,145,404.59,True,Display Feature,0.29
2024-01-01,BEV-001,STR-036,South,56,220.08,False,,0.0
2024-01-01,BEV-001,STR-037,South,72,282.96,False,,0.0
2024-01-01,BEV-001,STR-038,North,82,322.26,False,,0.0
